source_name,source_url,method_used,articles_found,articles_after_filter,elapsed_seconds,success,error
The Next Web,https://thenextweb.com,rss,10,1,0.98,True,
MIT Technology Review,https://www.technologyreview.com,rss,10,6,1.39,True,
VentureBeat,https://venturebeat.com,none,0,0,1.7,False,
The Verge,https://www.theverge.com,rss,10,2,2.65,True,
IEEE Spectrum,https://spectrum.ieee.org,rss,30,22,4.45,True,
Analytics India Magazine,https://analyticsindiamag.com,rss,15,7,3.88,True,
Digital Trends,https://www.digitaltrends.com,rss,30,8,5.78,True,
Engadget,https://www.engadget.com,rss,30,10,7.1,True,
Synced Review,https://syncedreview.com,rss,10,0,1.94,False,
TechCrunch,https://techcrunch.com,rss,20,16,14.35,True,
The Decoder,https://the-decoder.com,rss,10,5,6.98,True,
Reuters Technology,https://www.reuters.com,none,0,0,1.35,False,
AnandTech,https://www.anandtech.com,none,0,0,17.95,False,
Wired,https://www.wired.com,rss,20,10,18.67,True,
Bloomberg Technology,https://www.bloomberg.com,none,0,0,7.72,False,
Google AI Blog,https://ai.googleblog.com,none,0,0,24.04,False,
Fortune Tech,https://fortune.com,rss,10,6,9.55,True,
Ars Technica,https://arstechnica.com,rss,14,4,33.86,True,
ZDNet,https://www.zdnet.com,rss,14,10,37.16,True,
Wall Street Journal Tech,https://www.wsj.com,none,0,0,19.71,False,
Tom's Hardware,https://www.tomshardware.com,rss,19,13,45.4,True,
TechRadar,https://www.techradar.com,rss,25,6,46.56,True,
Forbes Tech,https://www.forbes.com,html,5,0,18.69,False,
BBC Technology,https://www.bbc.com,html,19,0,13.78,False,
The Guardian Tech,https://www.theguardian.com,rss,30,0,5.87,False,
Yahoo Finance Tech,https://finance.yahoo.com,html,20,7,19.87,True,
CNET,https://www.cnet.com,rss,10,3,53.95,True,
Business Insider Tech,https://www.businessinsider.com,rss,20,10,31.16,True,
Seeking Alpha Tech,https://seekingalpha.com,rss,24,2,31.36,True,
Financial Times Tech,https://www.ft.com,rss,10,0,54.1,False,
SemiAnalysis,https://www.semianalysis.com,rss,10,0,3.74,False,
Gizmodo,https://gizmodo.com,none,0,0,76.59,False,
NPR Tech,https://www.npr.org,rss,10,0,28.83,False,
CNN Tech,https://www.cnn.com,homepage,25,4,36.33,True,
NY Times Tech,https://www.nytimes.com,rss,30,1,44.51,True,
Electrek,https://electrek.co,rss,30,17,11.22,True,
CNBC Tech,https://www.cnbc.com,homepage,24,7,90.35,True,
EE Times,https://www.eetimes.com,rss,10,3,34.13,True,
Marktechpost,https://www.marktechpost.com,none,0,0,118.96,False,
Semiconductor Engineering,https://semiengineering.com,none,0,0,92.84,False,
AI Business,https://aibusiness.com,none,0,0,186.56,False,
Washington Post Tech,https://www.washingtonpost.com,none,0,0,157.3,False,
The AI Blog,https://blogs.microsoft.com,none,0,0,249.15,False,
Politico Tech,https://www.politico.com,none,0,0,190.85,False,
OpenAI Blog,https://openai.com,none,0,0,284.98,False,
Mashable,https://mashable.com,none,0,0,297.03,False,
CleanTechnica,https://cleantechnica.com,none,0,0,227.77,False,
Axios Tech,https://www.axios.com,none,0,0,264.39,False,
The Atlantic Tech,https://www.theatlantic.com,none,0,0,287.76,False,
AP Tech,https://apnews.com,none,0,0,297.09,False,
