source_name,source_url,method_used,articles_found,articles_after_filter,elapsed_seconds,success,error
The Next Web,https://thenextweb.com,rss,10,10,0.9895038604736328,True,
VentureBeat,https://venturebeat.com,rss,7,7,1.1888821125030518,True,
MIT Technology Review,https://www.technologyreview.com,rss,10,10,1.3203771114349365,True,
The Verge,https://www.theverge.com,rss,10,10,1.5364935398101807,True,
Digital Trends,https://www.digitaltrends.com,rss,30,30,2.6039276123046875,True,
TechCrunch,https://techcrunch.com,rss,20,20,2.725600481033325,True,
IEEE Spectrum,https://spectrum.ieee.org,rss,30,30,2.3299248218536377,True,
Analytics India Magazine,https://analyticsindiamag.com,rss,15,15,2.2136824131011963,True,
The AI Blog,https://blogs.microsoft.com,rss,10,10,2.629533052444458,True,
Synced Review,https://syncedreview.com,rss,10,10,1.6841440200805664,True,
Wired,https://www.wired.com,rss,20,20,6.024409294128418,True,
The Decoder,https://the-decoder.com,rss,10,10,3.225860834121704,True,
Reuters Technology,https://www.reuters.com,none,0,0,1.6493399143218994,False,
Engadget,https://www.engadget.com,rss,50,50,10.71846628189087,True,
OpenAI Blog,https://openai.com,none,0,0,8.00754714012146,False,
AI Business,https://aibusiness.com,rss,50,35,9.587433099746704,True,
Fortune Tech,https://fortune.com,rss,10,10,2.633495330810547,True,
Gizmodo,https://gizmodo.com,rss,20,20,16.92690110206604,True,
TechRadar,https://www.techradar.com,rss,50,50,19.011854887008667,True,
Bloomberg Technology,https://www.bloomberg.com,none,0,0,14.871552467346191,False,
Marktechpost,https://www.marktechpost.com,none,0,0,16.61552619934082,False,
ZDNet,https://www.zdnet.com,rss,20,20,35.00686025619507,True,
Wall Street Journal Tech,https://www.wsj.com,none,0,0,27.9061336517334,False,
AnandTech,https://www.anandtech.com,none,0,0,41.66099190711975,False,
The Guardian Tech,https://www.theguardian.com,rss,100,99,7.382059574127197,True,
Business Insider Tech,https://www.businessinsider.com,rss,20,20,29.478541612625122,True,
Forbes Tech,https://www.forbes.com,html,15,15,35.706729888916016,True,
Google AI Blog,https://ai.googleblog.com,none,0,0,49.88651990890503,False,
Axios Tech,https://www.axios.com,none,0,0,11.7776780128479,False,
Mashable,https://mashable.com,rss,95,95,64.973224401474,True,
Tom's Hardware,https://www.tomshardware.com,rss,29,27,70.7773106098175,True,
SemiAnalysis,https://www.semianalysis.com,rss,10,10,6.655677795410156,True,
EE Times,https://www.eetimes.com,rss,10,10,2.73333740234375,True,
Politico Tech,https://www.politico.com,none,0,0,15.786923885345459,False,
Electrek,https://electrek.co,rss,100,100,2.4564034938812256,True,
CleanTechnica,https://cleantechnica.com,rss,45,45,4.694645404815674,True,
Semiconductor Engineering,https://semiengineering.com,rss,10,10,7.086965084075928,True,
Ars Technica,https://arstechnica.com,rss,13,13,79.87548828125,True,
BBC Technology,https://www.bbc.com,html,97,95,65.01459097862244,True,
Seeking Alpha Tech,https://seekingalpha.com,rss,14,13,67.1848406791687,True,
Financial Times Tech,https://www.ft.com,rss,9,3,82.5053277015686,True,
CNBC Tech,https://www.cnbc.com,html,70,70,88.47015333175659,True,
Yahoo Finance Tech,https://finance.yahoo.com,rss,4,3,89.19609713554382,True,
NPR Tech,https://www.npr.org,html,70,68,69.86663126945496,True,
CNN Tech,https://www.cnn.com,html,54,54,115.12966322898865,True,
NY Times Tech,https://www.nytimes.com,homepage,46,46,100.76732969284058,True,
CNET,https://www.cnet.com,homepage,3,2,150.40532326698303,True,
AP Tech,https://apnews.com,html,60,60,123.29492425918579,True,
The Atlantic Tech,https://www.theatlantic.com,html,72,72,120.69609141349792,True,
Washington Post Tech,https://www.washingtonpost.com,none,0,0,250.54633855819702,False,
