source,headline,url,published,content_snippet,full_content,url_hash,method,scraped_at
TechCrunch,Lightspeed raises record $9B in fresh capital,https://techcrunch.com/2025/12/15/lightspeed-raises-record-9b-in-fresh-capital/,,The massive fund haul will allow the Silicon Valley firm to continue to invest in cash hungry AI startups.,The massive fund haul will allow the Silicon Valley firm to continue to invest in cash hungry AI startups.,13160dc8236a2837e8c8e91b617daa34,rss,2025-12-16T03:38:10.584017
TechCrunch,Merriam-Webster names ‘slop’ the word of the year,https://techcrunch.com/2025/12/15/merriam-webster-names-slop-the-word-of-the-year/,,"AI-generated content has dominated the internet over the past year, and America's dictionary took note.","AI-generated content has dominated the internet over the past year, and America's dictionary took note.",17366510aab3b8a04e2c9057cfa820e9,rss,2025-12-16T03:38:10.962154
TechCrunch,Google’s ‘dark web report’ feature will no longer be available starting in February,https://techcrunch.com/2025/12/15/googles-dark-web-report-feature-will-no-longer-be-available-starting-in-february/,,"Google has revealed that its “dark web report” feature will be discontinued starting February 16, 2026. Launched initially about a year and a half ago, this tool aimed to help users monitor their pers","Google has revealed that its “dark web report” feature will be discontinued starting February 16, 2026. Launched initially about a year and a half ago, this tool aimed to help users monitor their personal information on the dark web For some users, the dark web report seemed like a valuable tool, scanning various data breach [&#8230;]",cd93eb2b9469d8e7ee6e67e272fdbac0,rss,2025-12-16T03:38:11.314277
TechCrunch,Gift guide: TechCrunch’s favorite things,https://techcrunch.com/2025/12/15/gift-guide-techcrunchs-favorite-things/,,"As tech journalists we have a lot of opinions. So if we really like something, it's probably good!","As tech journalists we have a lot of opinions. So if we really like something, it's probably good!",d13f3bc03fb3ce5e68794f9c27492fcd,rss,2025-12-16T03:38:11.709498
TechCrunch,"Threads adds new communities, tests badges for highly engaged members",https://techcrunch.com/2025/12/15/threads-adds-new-communities-tests-badges-for-highly-engaged-members/,,"Threads, which has more than 150 million daily active users, adds more communities to its platform.","Threads, which has more than 150 million daily active users, adds more communities to its platform.",18be60173701e7b33f71a892ca91c44d,rss,2025-12-16T03:38:12.090394
The Verge,Trump is recruiting Big Tech workers for the government,https://www.theverge.com/news/844804/trump-tech-force-usds-apple-google-microsoft,,"President Donald Trump will recruit workers from Amazon, Apple, Google, Meta, Microsoft, and other tech giants to form the US Tech Force, a new program that aims to ""modernize the federal government,""","President Donald Trump will recruit workers from Amazon, Apple, Google, Meta, Microsoft, and other tech giants to form the US Tech Force, a new program that aims to ""modernize the federal government,"" according to an announcement on Monday. Under the new program, Trump plans to hire around 1,000 technology specialists to work across federal agencies [&#8230;]",fefcd17eb0a7ee1dabd6917c8836ddce,rss,2025-12-16T03:38:12.800060
The Verge,The best Fitbits for your fitness and health,https://www.theverge.com/22982833/best-fitbit-watch-fitness-tracker,,"In 2025, you might wonder if Fitbit is still relevant. Despite being acquired by Google, Fitbit remains one of the most recognizable names in the industry. Fitbit trackers aren’t meant for the most ha","In 2025, you might wonder if Fitbit is still relevant. Despite being acquired by Google, Fitbit remains one of the most recognizable names in the industry. Fitbit trackers aren’t meant for the most hardcore of athletes, but they’re still excellent devices for tracking overall activity as well as monitoring certain health and wellness metrics, like [&#8230;]",4b9b9d11dfc32e552200843fac35c30a,rss,2025-12-16T03:38:13.028060
The Verge,Bungie&#8217;s delayed shooter Marathon launches in March,https://www.theverge.com/news/844780/bungie-marathon-march-launch-delay,,"Bungie's Marathon, its upcoming extraction shooter that it delayed from a planned September release, will now launch in March 2026. The studio is ""targeting"" a price of $39.99, and ""purchasing Maratho","Bungie's Marathon, its upcoming extraction shooter that it delayed from a planned September release, will now launch in March 2026. The studio is ""targeting"" a price of $39.99, and ""purchasing Marathon will give you full access to the game, including a roadmap of free gameplay updates as the year progresses,"" according to a blog post. [&#8230;]",1f8134ca7d76f44db361ac63db85859c,rss,2025-12-16T03:38:13.261290
The Verge,Lidar-maker Luminar files for bankruptcy,https://www.theverge.com/news/844755/luminar-lidar-chapter-11-bankruptcy,,"Luminar, the lidar manufacturer that rode a wave of self-driving car hype to land deals with major automakers like Volvo and Mercedes-Benz, filed for bankruptcy Monday. The company has been mired in a","Luminar, the lidar manufacturer that rode a wave of self-driving car hype to land deals with major automakers like Volvo and Mercedes-Benz, filed for bankruptcy Monday. The company has been mired in a legal fight with its founder and former CEO, Austin Russell, who was ousted earlier this year following an ethics inquiry. As part [&#8230;]",e4f4f8733eb6bc86da689e43736cf3f0,rss,2025-12-16T03:38:13.495007
The Verge,Cadillac and Chevy are getting native Apple Music,https://www.theverge.com/transportation/844697/gm-cadillac-chevy-apple-music-native,,"General Motors is adding native Apple Music to the infotainment systems of select 2025 model year Cadillac and Chevrolet vehicles, the company announced today. The news comes as the automaker is racin","General Motors is adding native Apple Music to the infotainment systems of select 2025 model year Cadillac and Chevrolet vehicles, the company announced today. The news comes as the automaker is racing to add more native app experiences to some of its vehicles to make up for the absence of popular phone mirroring services like [&#8230;]",98b40b09b013b89a2218c161e3f521e7,rss,2025-12-16T03:38:13.717218
